RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2017-09-24 08:19:28.233,4 PIPELINE SNAGGED BY 3RD PARTY VESSEL,GULF OF MEXICO,07045416W
2017-11-20 01:14:24.703,INFLUX WAS DETECTED DURING DRILLING AND THE WEEL W,TBA,07187734Q
2018-07-31 01:08:38.047,DAMAGE TO COMPRESSOR GTI AT HALFAYA CPF-2,HALFAYA PROJECT IRAQ,06884628C
2020-01-21 01:11:02.603,HIGH WIND DAMAGE TO THE INSURED PROPERTY 1STADVICE,"OKLAHOMA, USA",07847170J
2019-01-13 01:17:22.990,EMPLOYEE DIAGNOSED WITH CANCER THAT WAS ALLEGEDLYC,ISRAEL,06798890F
2018-08-16 01:12:33.673,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06830906W
2018-02-23 01:17:58.193,A RUPTURE OF LBV GREASING TUBE WAS DISCOVERED; ITC,"LUKOIL WEST QURNA-2, IRAQ",06725742K
2018-10-17 01:18:24.160,AN ISSUE ON THE NOGAT PIPELINE. OBSERVED A LARGE17,NORTH SEA,06666448E
2017-09-24 13:35:04.153,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2018-02-21 01:24:03.007,SEVERE FLOODING DUE TO SIGNIFICANT RAINFAL.,"GREENSBURG, LA",06646330F
2019-06-11 01:18:51.667,BLOCK ENTRY,NULL,06869548F
2018-08-16 01:13:27.677,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,07167924C
2019-02-05 01:39:01.857,DAMAGE TO NNPC/MPN JV OIL PIPELINE BY DEPTHWIZE'SR,NIGERIA,06524552V
2019-03-01 01:54:16.270,UNDERGROUND BLOWOUT,TBA,07221740K
2020-03-06 01:08:15.683,TBA,TBA,07373352F
2019-03-27 06:24:02.887,HAIL DAMAGE TO LEASED PROPERTY,USA,07864290A
2017-12-19 01:09:41.577,"WELL CONTROL COST PHE2-A1,PHE12-A2 AND P13-A",PANGKALAN SUSU,06934112M
2018-08-01 01:18:52.507,DAMAGE TO PIPELINE,OFFSHORE MALAYSIA,06686760H
2018-01-30 01:20:40.027,INFLUX WAS DETECTED DURING DRILLING AND THE WEEL W,TBA,06886572N
2018-09-15 01:17:09.603,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2019-03-01 01:55:54.130,CONTROL OF WELL INCIDENT,TBA,07509148B
2017-12-05 01:13:11.287,FAILURE OF ANCHOR CHAIN,TBA,07091412T
2017-11-07 13:02:09.907,THE NIGHTSHIFT SUPERVISOR REPORTED A LEAKON MODULE,FPSO NGOMA - OFFSHORE ANGOLA,06655908H
2020-04-07 01:05:55.753,FSU NAUTICA MUAR HULL DAMAGE,OFFSHORE BENTARA FIELD,07782880B
2019-04-30 01:29:49.470,THE FIV'S WERE INSTALLED DURING 2015 FOR 9 WELLSIN,OFFSHORE ANGOLA,07908826P
2020-06-23 01:20:08.413,FAILURE OF ANCHOR CHAIN,TBA,07091412T
2018-02-28 01:25:51.217,MISC COMMENCED UNDERWATER INSPECTION IN LIEU OFDRY,BLOCK OM-3 CAA OFFSHORE MALAYSIA,06886418E
2019-09-11 01:15:49.693,3 PIPELINE WERE FOUND DAMAGED.,"DONGFANG 13-2 PROJECT, SOUTH CHINA SEA",07498836H
2017-09-29 01:15:59.017,UNDERGROUND BLOWOUT,NULL,06955348T
2019-03-26 02:10:21.850,BLOCK,NULL,06869548F
2018-09-09 01:20:48.587,UNDERGROUND BLOWOUT,TBA,06955348T
2020-03-24 01:11:25.380,TBA,TBA,07373352F
2017-09-29 01:15:43.987,BLOCK,NULL,06869548F
2018-08-05 01:20:16.360,DRILLING INTO A ZONE IN THE VERTICAL AND TOOK A PR,"KINGFISHER COUNTY, OKLAHOMA",07054674N
2019-12-25 01:13:27.503,TBA,TBA,07373352F
2018-08-03 01:23:44.297,FLOODING DAMAGE,"ARGENTINA, EL TORDILLO",06894262Q
2020-04-24 01:40:23.787,FAILURE OF ANCHOR CHAIN,TBA,07091412T
2019-04-21 01:31:35.273,FIRE AT MEASURING POINT,"ARGENTINA, EL TORDILLO",06876524N
2019-06-23 01:09:55.653,CRANE DAMAGE DURING TRANSIT,CAMEROON RIO DEL REY,06842690T
2018-12-16 01:21:09.123,HOUSE EXPLOSION - GAS LEAK,"COLORADO, USA",06945524M
2019-05-01 01:20:51.077,TO FIRE.,TBA,06659488W
2018-07-29 01:16:31.453,FAILURE OF THE BOTTOM ISOLATION SEAL ON THE GASINJ,NGOMA FPSO - OFFSHORE ANGOLA,06830958T
2018-12-23 01:40:10.707,CRANE DAMAGE,GABON,07556342J
2018-07-22 01:13:55.657,ON 30TH SEPTEMBER 2016 EXTERNAL MINOR OIL LEAKNOTI,OFFSHORE ANGOLA,06830914A
2018-07-22 01:13:13.623,DAMAGE TO NNPC/MPN JV OIL PIPELINE BY DEPTHWIZE'SR,NIGERIA,06549138G
2020-03-24 01:14:24.100,INCIDENT DURING INSTALLATION OF SHEATHED MOORING W,"NJORD FIELD, CAR PROJECT",08198714W
2018-09-09 01:22:28.087,CONTROL OF WELL INCIDENT,TBA,07509148B
2017-10-15 01:13:02.457,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2018-01-17 01:15:57.907,RIG 53 SUFFERED ENGINE DAMAGE IN TRANSIT,"AG STACK YARD, EGYPT",06584764V
2018-12-23 01:38:22.970,MISC COMMENCED UNDERWATER INSPECTION IN LIEU OFDRY,BLOCK OM-3 CAA OFFSHORE MALAYSIA,06886418E
2018-08-08 01:23:35.893,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06825770R
2018-01-19 01:20:32.807,DRILLING INTO A ZONE IN THE VERTICAL AND TOOK A PR,"KINGFISHER COUNTY, OKLAHOMA",07054674N
2019-06-11 01:20:27.263,TBA,TBA,07373352F
2018-03-27 04:26:47.473,UNDERGROUND BLOWOUT,TBA,07221740K
2020-07-22 01:51:20.717,DAMAGE TO THE ROOF OF THE RESIDENTIAL BUILDING OFF,ORKNEY ISLANDS,06802894G
2019-02-14 01:28:32.213,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2018-11-23 06:39:23.290,UNDERGROUND BLOWOUT,TBA,07221740K
2018-08-15 01:21:04.237,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06830906W
2017-10-29 01:12:39.270,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2018-10-23 01:15:10.547,UNDERGROUND BLOWOUT,TBA,06955348T
2017-12-01 01:29:54.787,"BETWEEN MAY 27TH & 30TH,2016,FPSO ENGINE ROOMSUPER",OFFSHORE ANGOLA ANGOLA - OFFSHORE BLOCK 15/06,06830938E
2018-01-10 01:15:09.787,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2017-12-19 01:10:02.153,UNDERGROUND BLOWOUT,TBA,06955348T
2019-01-24 01:22:14.933,DAMAGE TO DRILLING EQUIPMENT WHICH WAS UNDER THEAS,USA,06745962W
2019-12-31 01:44:01.000,RISERS DAMAGED WHILST BEING STACKED IN WAREHOUSE,"CANADA, NEWFOUNDLAND",06811580N
2019-03-28 01:42:56.743,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2018-09-27 01:19:37.003,DAMAGE TO COMPRESSOR GTI AT HALFAYA CPF-2,HALFAYA PROJECT IRAQ,06884628C
2019-08-28 01:15:37.183,DAMAGE TO COMPRESSOR GTI AT HALFAYA CPF-2,HALFAYA PROJECT IRAQ,06884628C
2018-07-12 07:39:09.990,LOSS OF CONTROL OVER THE WELL U0503 DURING THE REP,NOVY URENGOY,07378760V
2018-01-26 01:17:33.037,EXPORT PIPELINE - BATTERY BANK -1 DAMAGED DUE TOOV,"WEST QURNA, IRAQ",06586568G
2019-01-31 07:01:27.567,FSU NAUTICA MUAR HULL DAMAGE,OFFSHORE BENTARA FIELD,07782880B
2019-11-27 01:09:42.353,DAMAGE TO THE ROOF OF THE RESIDENTIAL BUILDING OFF,ORKNEY ISLANDS,06802894G
2019-01-06 01:19:54.857,DAMAGE TO TOP DRIVE,PORT OF MASAN,07747136T
2018-11-07 01:12:06.400,MISC COMMENCED UNDERWATER INSPECTION IN LIEU OFDRY,BLOCK PM-3 CAA OFFSHORE MALAYSIA,06886424K
2018-09-27 01:19:48.673,HOUSE EXPLOSION - GAS LEAK,"COLORADO, USA",06945524M
2019-04-25 01:20:43.480,UNDERGROUND COW GRIM REAPER 2930 1H WELL,TEXAS,06981048P
2018-11-04 01:20:22.087,LEAKAGE IN THE GARN WEST RISER,"DRAUGEN FIELD, NORWEGIAN SEA",06993592H
2018-06-28 01:29:01.940,FIRE AT MEASURING POINT,"ARGENTINA, EL TORDILLO",07343740R
2019-07-16 01:10:55.727,BLOCK ENTRY,NULL,06869548F
2018-11-07 01:14:21.073,LEAKAGE IN UMBILICAL,NORWAY,07664342F
2020-06-10 01:08:37.757,TBA,TBA,07373352F
2019-11-20 01:23:24.000,INCIDENT DURING INSTALLATION OF SHEATHED MOORING W,"NJORD FIELD, CAR PROJECT",08198714W
2018-06-15 06:35:40.990,FAILURE OF ANCHOR CHAIN,TBA,07091412T
2018-03-13 10:27:00.573,DRILLING INTO A ZONE IN THE VERTICAL AND TOOK A PR,"KINGFISHER COUNTY, OKLAHOMA",07054674N
2017-10-18 01:19:41.947,A FIRE ACCIDENT OCCURRED DUE TO A GAS LEAK ON BLOC,PAL F2 PLATFORM,07140836Q
2020-02-06 01:28:12.297,DAMAGE TO PIPELINE,RUSSIA,08307426V
2017-10-13 01:13:17.310,DAMAGES TO EQUIPMENT OF THE INSURED DISCOVERED DUR,IRAQ,06923182W
2018-06-05 01:29:31.377,"SUBSEA PIPELINE - SEBUKU BLOCK, MAKASSAR STRAIT. S","SEBUKU BLOCK, MAKASSAR STRAIT, SOUTHEAST",07224068W
2019-01-17 01:24:20.343,FLOODING DAMAGE,"ARGENTINA, EL TORDILLO",07529226Q
2020-03-27 01:10:26.390,3RD PARTY PPTY DAMAGE TO MURPHY 12 PIPELINE,KIN BALU FIELD,07033556W
2017-12-22 01:19:24.667,WELL HEAD SUBSIDENCE - LIMBAYONG -4 WELL,OFFSHORE MALAYSIA,06684804G
2018-07-18 01:24:25.757,"BETWEEN MAY 27TH & 30TH,2016,FPSO ENGINE ROOMSUPER",OFFSHORE ANGOLA ANGOLA - OFFSHORE BLOCK 15/06,06830938E
2018-09-26 01:28:16.670,LEAKAGE IN THE GARN WEST RISER,"DRAUGEN FIELD, NORWEGIAN SEA",07085800K
2017-12-05 01:12:21.643,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06830906W
2020-03-17 01:16:39.367,DAMAGE TO TOP DRIVE,PORT OF MASAN,07747136T
2018-12-07 01:12:43.297,RIG 48 DRAWORKS INCIDENT,SAN EL HAGAR - EGYPT,06652572P
2020-03-06 01:07:01.857,UNDERGROUND BLOWOUT,TBA,06955348T
2019-06-23 01:15:48.657,CRANE DAMAGE DURING TRANSIT,CAMEROON RIO DEL REY,07734944F
2018-08-31 01:21:33.637,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06830906W
2017-10-03 01:53:02.057,HOUSE EXPLOSION - GAS LEAK,"COLORADO, USA",06945524M
2018-06-26 01:24:22.890,LOSS OF CONTROL OVER THE WELL U0503 DURING THE REP,NOVY URENGOY,07378760V
2018-09-20 01:08:51.307,CRACK DISCOVERED ON THE STRUCTURAL NODE - MAARI WH,TBA,06761142P
2020-06-10 01:07:10.510,UNDERGROUND BLOWOUT,TBA,06955348T
2018-03-27 04:24:52.800,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2018-09-26 01:27:30.340,UNDERGROUND BLOWOUT,TBA,06955348T
2017-12-19 01:11:21.437,CASING LEAK CASINO 5 WELL,"OFFSHORE VICTORIA, AUSTRALIA",07232918W
2020-07-27 03:47:08.093,BLOCK ENTRY,NULL,06869548F
2018-03-13 10:25:35.900,PIPELINE DAMAGE,TBA,06735816W
2019-07-16 01:11:10.087,UNDERGROUND BLOWOUT,TBA,06955348T
2018-01-31 01:35:44.877,CROSS FLOW ISSUE AT ELGIN WHP B,"ELGIN FRANKLIN FIELD, EAST OF ABERDEEN",06820834F
2018-08-15 01:22:14.333,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,07167924C
2018-11-19 01:17:58.550,SCRATCH DAMAGE CAUSED TO THE PIPELINE,"DONGFANG 13-2 PROJECT, SOUTH CHINA SEA",07500778R
2018-03-13 10:25:46.527,CROSS FLOW ISSUE AT ELGIN WHP B,"ELGIN FRANKLIN FIELD, EAST OF ABERDEEN",06820834F
2017-12-01 01:29:54.413,ON 30TH SEPTEMBER 2016 EXTERNAL MINOR OIL LEAKNOTI,OFFSHORE ANGOLA,06830914A
2020-03-06 01:06:55.620,BLOCK ENTRY,NULL,06869548F
2017-12-05 01:12:29.643,FAILURE OF ANCHOR CHAIN,TBA,06890228V
2017-10-25 01:17:08.237,"ON JUNE 14TH, 2016, IT WAS PLANNED TO CHANGE THE P",FPSO NGOMA - OFFSHORE ANGOLA,06580326K
2018-03-23 04:17:25.903,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,06825770R
2017-10-12 01:14:05.460,RUPTURED TANK TRAILER,"CANADA, ALBERTA, GRANDE CACHE",06851200G
2018-02-14 04:09:50.983,CRANE DAMAGE DURING TRANSIT,CAMEROON RIO DEL REY,06842690T
2019-07-16 01:13:28.823,BLOCK,NULL,07579704H
2019-03-20 01:51:37.457,EMPLOYEE DIAGNOSED WITH CANCER THAT WAS ALLEGEDLYC,ISRAEL,06798890F
2020-07-01 01:59:55.647,A FIRE ACCIDENT OCCURRED DUE TO A GAS LEAK ON BLOC,PAL F2 PLATFORM,07140836Q
2017-12-05 01:11:49.393,THE NIGHTSHIFT SUPERVISOR REPORTED A LEAKON MODULE,FPSO NGOMA - OFFSHORE ANGOLA,06654560K
2018-10-19 01:18:37.093,MAARI MID WATER ARCH RISER DAMAGE,NEW ZEALAND,06559228V
2020-03-30 04:31:45.687,CRANE DAMAGE,GABON,07556344E
2017-10-05 01:15:57.790,DAMAGE TO THE ROOF OF THE RESIDENTIAL BUILDING OFF,ORKNEY ISLANDS,06802894G
2019-09-20 01:20:33.123,3 PIPELINE WERE FOUND DAMAGED.,"DONGFANG 13-2 PROJECT, SOUTH CHINA SEA",07498836H
2017-10-15 01:12:54.893,RISERS DAMAGED WHILST BEING STACKED IN WAREHOUSE,"CANADA, NEWFOUNDLAND",06811580N
2017-11-04 01:11:49.280,DAMAGE TO PUMP DUE TO ROLLOVER,USA WYOMING WHEATLAND PLATT COUNTY,06783898C
2019-09-05 01:19:37.273,DAMAGE TO THE ROOF OF THE RESIDENTIAL BUILDING OFF,ORKNEY ISLANDS,06802894G
2018-08-29 01:23:11.840,MOORING CHAIN HOOK-UP INCIDENT,OFFSHORE - BENTARA FIELD,07404438J
2017-11-09 01:10:18.350,EXPORT PIPELINE - BATTERY BANK -1 DAMAGED DUE TOOV,"WEST QURNA, IRAQ",06527182J
2019-06-21 01:12:24.067,CRANE DAMAGE,GABON,07556344E
2018-11-27 01:21:43.637,CROSS FLOW ISSUE AT ELGIN WHP B,"ELGIN FRANKLIN FIELD, EAST OF ABERDEEN",07213378Q
2018-02-22 01:18:18.860,CHEAL B5 WELL INCIDENT,TBA,06661366R
2017-10-06 04:33:52.380,BLOCK,NULL,06869548F
2017-11-28 01:17:20.207,FAILURE OF ANCHOR CHAIN,TBA,06890228V
2018-04-19 06:37:42.323,FAILURE OF THE MECHANICAL SEALS ON THE FLASH GAS C,OFFSHORE ANGOLA,07387942K
2018-11-07 01:12:05.930,MISC COMMENCED UNDERWATER INSPECTION IN LIEU OFDRY,BLOCK OM-3 CAA OFFSHORE MALAYSIA,06886418E
2018-10-23 01:17:03.190,UNDERGROUND BLOWOUT,TBA,07221740K
2017-12-05 01:13:26.690,ON 4TH OCTOBER A TOTAL POWER FAILURE ON THE FPSOCA,OFFSHORE ANGOLA,07167924C
2020-02-06 01:28:14.203,COMPONENT LOST IN PIPE LINE,SWEDEN,08307490H
2020-03-30 04:27:52.623,CRANE DAMAGE,GABON,06641346T
2018-05-31 01:22:18.093,LEAKAGE IN THE GARN WEST RISER,"DRAUGEN FIELD, NORWEGIAN SEA",07085800K
2018-08-10 01:21:05.607,DRILLING INTO A ZONE IN THE VERTICAL AND TOOK A PR,"KINGFISHER COUNTY, OKLAHOMA",07054674N
2018-05-10 02:45:57.033,SEVERE FLOODING DUE TO SIGNIFICANT RAINFAL.,"GREENSBURG, LA",06646330F
2018-08-12 01:17:26.000,FAILURE OF THE BOTTOM ISOLATION SEAL ON THE GASINJ,NGOMA FPSO - OFFSHORE ANGOLA,07209262J
2018-05-24 01:50:27.377,1 MARCH 2015 TO 2 APRIL 2016,TBA,06485552V
2019-01-01 01:18:36.133,LEAKAGE AT PIPELINE PL348,OFFSHORE MALAYSIA,06606238W
2018-02-09 01:47:26.267,WATER INJECTION RISER DAMAGE,JUBILEE FPSO,06234344E
2018-12-19 06:06:31.410,WELL LEAKAGE - SKARV FIELD - B08 WELL,"SKARV FIELD, OFFSHORE NORWAY",07725590T
2019-03-27 06:25:19.497,EXPLOSION AND FIRE AT OBANGUE EAST CENTRAL PROCESS,"OBANGUE EAST SITE, GABON",06681570C
2017-09-27 06:42:32.347,CLMT:DONALD W COVINGTON-ALLEGATION WITH RESPECT TO,TBA,06600134J
2019-12-31 01:43:51.263,FAILURE OF WATER INJECTION FLOWLINE,OFFSHORE NEW ZEALAND,06318978V
2018-09-26 01:25:25.997,GTG DAMAGE,TBA,06520868K
2018-08-09 01:14:31.130,GTG DAMAGE,TBA,06520868K
2018-10-31 01:45:11.880,FAILED PRINTED CIRCUIT HEAT EXCHANGER (OPERATINGRI,CIDADE MARICA,06800426T
2019-12-29 01:20:37.600,WELDING DEFECTS ON STUB ON PIPING JOINTS,NULL,08147564N
2018-04-05 01:19:46.033,SPUD CAN DAMAGES,TBA,06486938G
2018-01-16 01:18:21.623,DURING THE TRANSPOOLING OF UO-1 UMBILICAL TO INSTA,BLOCK 15-06 WEST HUB,07096882E
2017-11-22 01:17:57.147,BLOCK,NULL,07181864Q
2020-03-27 01:08:56.750,PIPELINE DEFECT DICOVERED - DALAK FIELD,OFFSHORE MALAYSIA,06208802T
2018-12-02 01:18:35.117,LEAKAGE AT PIPELINE PL348,OFFSHORE MALAYSIA,06333942V
2018-10-12 01:15:36.140,GTG DAMAGE,TBA,06520868K
2019-01-27 01:55:21.930,PIPELINE LEAK NEAR BUNGA TULIP ALPHA,PM3FIELD - OFFSHORE VIETNAM,06684754P
2020-03-22 16:41:33.830,"DAMAGE OF THE PRODUCTION SITES, ROADS, BRIDGES, PL",GISSAR FIELD.,07511328W
2018-06-21 01:11:34.153,BLOCK,NULL,07181864Q
2018-06-25 01:30:38.813,"SMALL FIRE, PRODUCTION STOPPED FOR SHORT TIME",UNKNOWN,07240342R
2018-09-26 01:26:02.667,TEMP MOORING DAMAGE,TBA,06666398M
2017-12-05 01:10:32.690,POTENTIAL DAMAGE ARISING FROM THE MOORING SYSTEM,OFFSHORE NEW ZEALAND,06323442J
2018-08-01 01:19:23.410,LALAWAK-1 WELL CONTROL INCIDENT,BLOCK SK - 2B OFFSHORE MALAYSIA,06885284E
2017-11-30 01:33:31.193,PRECAUTIONARY NOTICE OF CLAIM IN RESPECT OF FPSO R,NEW ZEALAND,06315530H
2018-04-06 01:24:57.257,LEAKAGE IN THE GARN WEST RISER,"DRAUGEN FIELD, NORWEGIAN SEA",07311422F
2018-12-14 01:17:09.327,DAMAGE FROM 3RD PARTY ANCHOR D,TBA,07496854T
2018-07-11 01:50:50.933,DAMAGE TO ROLLS-ROYCE THRUSTERS.,TBA,07485474B
2018-10-04 01:11:30.507,EXPLOSION AND FIRE AT OBANGUE EAST CENTRAL PROCESS,"OBANGUE EAST SITE, GABON",06681570C
2019-01-13 01:17:00.210,FIRE AT THERMAL POWER PLANT FURRIAL,VENEZUELA,06520670Q
2019-04-26 01:35:44.083,SAKHALIN I OFFSHORE. LOADING INCIDENT,OFFSHORE RUSSIA,07227332N
2017-09-21 07:26:40.610,WATER DAMAGE TO OFFICE EQUIP.,"VIETNAM, HO CHI MINH CITY",06478956W
2018-12-26 01:35:01.453,MOORING LINE DAMAGE,TBA,06336750M
2019-04-25 01:18:48.213,SPUD CAN DAMAGES,TBA,06486938G
2018-08-22 01:21:42.587,VARIOUS DAMAGES,TBA,07352552R
2018-04-06 01:20:58.437,EXPLOSION AND FIRE AT OBANGUE EAST CENTRAL PROCESS,"OBANGUE EAST SITE, GABON",06561932R
2020-05-28 01:13:08.683,INJURY,NULL,07815048V
2020-03-06 01:06:31.213,TEMP MOORING DAMAGE,TBA,06666398M
2017-11-22 01:17:56.617,BLOCK,NULL,07181862W
2018-04-06 01:21:14.767,EXPLOSION AND FIRE AT OBANGUE EAST CENTRAL PROCESS,"OBANGUE EAST SITE, GABON",06681570C
2019-10-01 01:10:43.230,LEAKAGE AT PIPELINE PL348,OFFSHORE MALAYSIA,06333942V
2017-09-24 08:09:16.983,DAMAGE TO   SWIVEL - MODULE B DYNAMIC SEALS,TBA,06501896N
2018-06-26 01:18:46.077,BLOCK,NULL,06336746A
2018-12-12 01:11:44.810,BLOCK ENTRY,NULL,06842494T
2018-12-06 01:20:17.983,POTENTIAL DAMAGE ARISING FROM THE MOORING SYSTEM,OFFSHORE NEW ZEALAND,06323442J
2019-04-25 01:18:52.637,BLOCK ENTRY,NULL,06539540K
2018-06-27 01:11:23.133,POKIETNICA - 4 COW INCIDENT AT ROKIETNICA - 4,POLAND,06052176N
2018-04-05 01:20:04.080,BLOCK ENTRY,NULL,06539540K
2020-03-06 01:06:19.480,GTG DAMAGE,TBA,06520868K
2017-09-23 19:49:29.860,DURING THE TRANSPOOLING OF UO-1 UMBILICAL TO INSTA,BLOCK 15-06 WEST HUB,07031792T
2019-01-03 01:11:52.380,DAMAGE TO ROLLS-ROYCE THRUSTERS.,TBA,07485474B
2018-03-22 04:11:37.593,SURFACE CONTROLLED SAFETY VALVES BECAME CLOSED ATW,"MISSISSIPPI CANYON BLOCK, GULF OF MEXICO",06751874N
2019-07-05 01:15:47.743,CONTACT BETWEEN THE FPSO AND THE J28 WHILE LIFTING,"JUBILEE TURRET REMEDIATION PROJECT, OFFSHORE GHANA",06739412E
2019-06-20 01:15:55.343,WELL LEAKAGE - SKARV FIELD - B08 WELL,"SKARV FIELD, OFFSHORE NORWAY",07725590T
2019-05-02 01:29:56.747,INJURY,NULL,07815048V
2017-12-28 01:19:28.860,TEMP MOORING DAMAGE,TBA,06666398M
2020-07-22 01:50:52.077,LEAKAGE AT PIPELINE PL348,OFFSHORE MALAYSIA,06606238W
2019-06-18 01:27:46.610,FAILURE OF WATER INJECTION FLOWLINE,OFFSHORE NEW ZEALAND,06318978V
2018-10-12 01:16:30.890,TEMP MOORING DAMAGE,TBA,06666398M
2020-06-12 01:31:13.950,PL-192 IFL DAMAGED,MALAYSIA,08489628H
2018-07-18 01:27:16.277,CONTROL OF WELL INCIDENT,TBA,07509148B
2018-07-25 01:16:34.720,DAMAGE TO SUBSEA ELECTIC,OFFSHORE MALAYSIA,06630090A
2017-12-28 01:19:17.767,RIG 53 SUFFERED ENGINE DAMAGE IN TRANSIT,"AG STACK YARD, EGYPT",06584764V
2018-09-18 01:14:51.367,3RD PARTY DAMAGE TO MURPHY 12 PIPELNE,KIN BALU FIELD,07402184G
2018-12-30 01:27:32.887,DAMAGE TO SUBSEA ELECTRICAL CABLE,DULANG FIELD OFFSHORE MALAYSIA,07140630V
2019-07-26 01:19:27.853,DAMAGE TO COMPRESSOR GTI AT HALFAYA CPF-2,HALFAYA PROJECT IRAQ,06884628C
2019-03-13 05:46:41.623,FLOOD MITIGATION CONTROL DUE TO FORECASTED TORRENT,CAMPO MORICHE COLOMBIA,07843750M
2019-08-01 01:07:59.097,EXPLOSION AT HARRISON WATER TREATMENT FACILITY,COLORADO,06850900W
2019-03-15 01:58:16.077,HIGH WIND DAMAGE TO THE INSURED PROPERTY 1STADVICE,"OKLAHOMA, USA",07847170J
2018-08-02 01:25:46.123,DAMAGE TO PROPERTY DUE TO HAIL STORM,"USA, TEXAS, ODESSA",07303932P
2018-01-03 01:13:51.813,DRILLING INTO A ZONE IN THE VERTICAL AND TOOK A PR,"KINGFISHER COUNTY, OKLAHOMA",07054674N
2017-10-26 01:12:40.273,A RUPTURE OF LBV GREASING TUBE WAS DISCOVERED; ITC,"LUKOIL WEST QURNA-2, IRAQ",06591806A
2017-10-19 01:14:42.990,THE TURRET BEARING ON THE FPSO KWAME NKRUMAH HASBE,GHANA NATIONAL GAS COMPANY,06756942P
2018-05-15 01:23:42.193,TBA,TBA,07373352F
2018-11-08 06:58:46.863,LEAKAGE IN UMBILICAL,NORWAY,07229112T
2018-03-15 04:24:07.507,FIRE AT MEASURING POINT,"ARGENTINA, EL TORDILLO",07343740R
2020-01-28 01:21:53.907,CRANE DAMAGE DURING TRANSIT,CAMEROON RIO DEL REY,07734944F
2018-10-24 01:20:47.567,FIRE AT MEASURING POINT,"ARGENTINA, EL TORDILLO",07343740R
2017-10-18 01:18:18.993,OIL LEAK FROM GREASING TUBE WITH TEMPORARY REPAIRS,"LUKOIL WEST QURNA-2, IRAQ",06765590V
2019-12-25 01:11:54.877,INDIVIDUAL EXPOSED TO CHEMICALS IN PALOCH FIELD,SOUTH SUDAN,06888412G
2019-03-26 02:12:46.833,TBA,TBA,07373352F
2018-07-18 01:25:59.587,UNDERGROUND BLOWOUT,TBA,07221740K
2018-06-08 01:28:59.693,FIRE IN A RENTAL WAREHOUSE.,"ASTRAKHAN, RUSSIA",07459364H
2018-09-09 01:22:47.667,BLOCK,NULL,07579704H
2019-06-12 01:11:21.130,CONTROL OF WELL INCIDENT,TBA,07509148B
2019-12-25 01:11:50.580,BLOCK ENTRY,NULL,06869548F
2018-09-26 01:29:13.607,UNDERGROUND BLOWOUT,TBA,07221740K
2018-03-16 04:56:39.607,"ON JUNE 14TH, 2016, IT WAS PLANNED TO CHANGE THE P",FPSO NGOMA - OFFSHORE ANGOLA,06580326K
2017-11-08 01:15:17.767,UNDERGROUND BLOWOUT,NULL,06955348T
2017-10-05 01:35:12.760,WAGON ROLLOVER,"CANADA, ALBERTA, GRAND CACHE",06722796A
2020-05-06 01:04:56.177,SURFACE CONTROLLED SAFETY VALVES BECAME CLOSED ATW,"MISSISSIPPI CANYON BLOCK, GULF OF MEXICO",06751838T
2019-01-30 01:32:47.390,INFLUX WAS DETECTED DURING DRILLING AND THE WEEL W,TBA,06903424R
2017-10-04 01:14:12.197,WATER LEAKAGE IN PUMP ROOM,TBA,06800430H
2017-10-11 01:13:03.687,TRUCK & TRAILER ROLLOVER,"USA, TEXAS, CRANE",06662346T
2017-10-17 01:15:11.260,AN ISSUE ON THE NOGAT PIPELINE.OBSERVED A LARGE175,NORTH SEA,06666298R
2018-02-27 03:57:18.297,DAMAGE TO SUBSEA ELECTRICAL CABLE,DULANG FIELD OFFSHORE MALAYSIA,07140630V
2020-07-14 04:42:55.260,A FIRE ACCIDENT OCCURRED DUE TO A GAS LEAK ONBLOCK,PAL F2 PLATFORM,08517662A
