RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2018-03-21 04:11:35.913,RIG 53 SUFFERED ENGINE DAMAGE IN TRANSIT,"AG STACK YARD, EGYPT",06584764V
2018-03-27 04:24:55.877,BLOCK,NULL,06869548F
2019-11-20 01:18:10.673,FIRE DAMAGE TO RIG 651ST ADVICE OF FIRE DAMAGE TOR,EGYPT,06857092E
2017-10-13 01:13:17.827,DAMAGES TO EQUIPMENT OF THE INSURED DISCOVERED DUR,IRAQ,06923790N
2019-03-26 02:12:10.100,UNDERGROUND BLOWOUT,TBA,07221740K
2017-10-10 06:16:12.323,CRACK DISCOVERED ON THE STRUCTURAL NODE - MAARI WH,TBA,06761142P
2018-11-26 06:53:56.000,INFLUX WAS DETECTED DURING DRILLING AND THE WEEL W,TBA,07187734Q
2020-06-09 01:18:17.153,DEATH OF MR. WILBERTO CORONADO FIESTAS (MECHANIC),"OFFSHORE PERU, TORTUGA DOCK",08472166K
2020-01-01 01:18:41.993,LIGHTNING STRIKE CAUSED FIRE AT MATADOR 6-33-3H.,REEVES COUNTY,08024192F
2017-09-24 08:19:18.483,CHRISTMAS TREE DAMAGE TO SKARV WELL,"OFFSHORE NORWAY, SKARV FIELD",06903512W
2020-03-05 01:24:31.273,COMPRESSOR C-1104 BREAKDOWN,TBA,08345230B
2019-05-01 01:22:10.407,FAILURE OF THE MECHANICAL SEALS ON THE FLASH GAS C,OFFSHORE ANGOLA,07387942K
2018-07-11 01:49:12.963,UNDERGROUND BLOWOUT,TBA,06955348T
2020-06-03 01:21:24.880,INCIDENT DURING INSTALLATION OF SHEATHED MOORING W,"NJORD FIELD, CAR PROJECT",08198714W
2019-05-05 01:39:21.800,SKARV WELLS XMAS TREES PROBLEM,OFFSHORE NORWAY,07337752M
2017-09-24 08:19:19.843,CHRISTMAS TREE DAMAGE TO SKARV WELL,"OFFSHORE NORWAY, SKARV FIELD",06912956R
2018-12-13 01:10:53.597,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06991234K
2020-01-21 01:07:00.777,SEAN ARCEMENT - INJURY TO SEAN ARCEMENT,USA,06357750M
2019-08-02 01:12:35.557,XFEES,ALASKA,07241106E
2019-09-10 01:14:40.097,12 PIPELINE RUPTURE CAUSING CRUDE RELEASE,MONTANA,06520334P
2018-10-07 01:16:50.357,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2018-03-09 01:31:13.457,MINOR FIRE AT TELECOM ROOM,FPSO PIONEIRO DE LIBRA,07206970Q
2018-12-13 01:10:51.973,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06987456A
2018-04-10 01:16:59.243,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06520334P
2018-07-22 01:12:43.530,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2017-11-30 01:33:41.037,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2018-01-23 01:16:49.047,"CLMNT:COLBY LOFTHOUSE, FATALITY OF SIXTEEN YEAROLD",NORTH DAKOTA,06338310N
2019-11-19 01:20:27.037,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2019-07-30 01:13:32.723,12 PIPELINE RUPTURE CAUSING CRUDE RELEASE,MONTANA,06520334P
2019-10-11 01:09:38.963,SEAN ARCEMENT - INJURY TO SEAN ARCEMENT,USA,06357750M
2018-02-06 01:12:52.033,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2018-08-21 01:18:20.903,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06991234K
2017-11-26 01:29:50.357,SERIOUS DAMAGE TO INSURED PICK UP TRUCK AFTER VEHI,USA LOUISIANA LA 172 WEST OF KEATCHIE,06119998B
2018-08-08 01:22:21.330,PIPELINE SPLIT CAUSING RELEASE OF 300 TO 1200 BBLS,MONTANA,06520336J
2019-11-05 01:57:39.423,SEAN ARCEMENT - INJURY TO SEAN ARCEMENT,USA,06357750M
2019-01-16 01:45:34.470,MINOR FIRE AT TELECOM ROOM,FPSO PIONEIRO DE LIBRA,07206970Q
2019-01-08 05:45:28.437,FIRE,PETROJARL 1,06554316M
2018-08-14 01:12:39.580,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06520334P
2018-09-30 01:20:54.980,ODD JOB WELL. DETAILS TO FOLLOW.,MISSISSIPPI CANYON BLOCK 214 WELL NO 1,06027426H
2019-09-10 01:13:37.017,12 PIPELINE RUPTURE CAUSING CRUDE RELEASE,MONTANA,06041902B
2018-11-02 01:12:59.143,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06520334P
2018-10-09 01:15:29.200,STORAGE DRUM INCIDENT,TBA,07490504E
2019-01-23 17:14:00.207,P1 UMBILICAL / PULL-IN WINCH AND WIRE,TBA,07185784J
2019-07-21 01:29:14.280,XFEES,ALASKA,07241106E
2017-11-30 01:34:05.710,"CLMT:ANGEL MARIO RENDON CANTU,HEAD-ON COLLISIONFAT",TBA,06523526F
2018-06-08 01:26:05.237,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06987456A
2018-11-07 01:12:48.947,GEARBOX BROKEN FROM THE SHAFT ON STORAGE DRUM,FPSO LIBRA,07195234C
2018-04-12 06:00:04.867,PIPELINE SPLIT CAUSING RELEASE OF 300 TO 1200 BBLS,MONTANA,06031136G
2019-01-27 01:56:50.260,GEARBOX BROKEN FROM THE SHAFT ON STORAGE DRUM,FPSO LIBRA,07195234C
2018-04-10 01:19:32.717,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06991234K
2018-04-10 01:19:27.763,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06987456A
2018-05-15 01:18:13.407,SEAN ARCEMENT - INJURY TO SEAN ARCEMENT,USA,06357750M
2019-06-19 01:11:05.940,XFEES,ALASKA,07241106E
2019-11-05 01:57:37.783,SEAN ARCEMENT - INJURY TO SEAN ARCEMENT,USA,06357750M
2019-06-30 01:21:43.997,VESSEL-JOE N. DANIELS-CREWMEMBER JOE N. DANIELSSUS,USA,07399950N
2017-11-16 01:12:43.850,STL BUOY LEAKAGE BALLAST TANK NUMBER 3,GINA KING,06735608H
2017-10-10 06:15:54.573,FIRE,PETROJARL 1,06430276A
2019-08-14 01:09:46.157,VESSEL-JOE N. DANIELS-CREWMEMBER JOE N. DANIELSSUS,USA,07399950N
2018-11-11 01:22:32.843,VESSEL-JOHN FORNAH-MEL/CGL CLAIM OF JOHN FORNAH,GULF OF MEXICO,07211348T
2017-11-11 01:09:55.810,STL BUOY LEAKAGE BALLAST TANK NUMBER 3,GINA KING,06735608H
2017-09-24 13:35:22.590,P1 UMBILICAL / PULL-IN WINCH AND WIRE,TBA,07104376J
2019-11-28 01:14:22.410,STORAGE DRUM INCIDENT,TBA,07490504E
2017-12-08 01:17:44.293,P1 UMBILICAL/PULL-IN WINCH & WIRE,TBA,06987456A
2018-07-11 01:48:26.133,FIRE,PETROJARL 1,06554316M
2019-10-18 01:07:43.220,VESSEL-JOE N. DANIELS-CREWMEMBER JOE N. DANIELSSUS,USA,07399950N
2018-08-08 01:20:27.647,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06041902B
2018-08-26 01:22:21.400,STORAGE DRUM INCIDENT,TBA,07562232P
2019-04-24 01:10:47.943,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2020-06-05 01:06:38.903,XFEES,ALASKA,07241106E
2017-11-23 10:26:40.287,8 METERS CONDENSATE EXPORT PIPELINE HAS BEENDRAGGE,PAILIN,06329074T
2018-03-23 04:16:27.187,FIRE DAMAGE TO MULTIPLE OPEN TOP TANKS AND FRACTAN,"USA SOUTH TEXAS GROUP GATES RANCH, ALICE",06129004V
2018-04-06 01:20:14.247,K334 RUPTURED,"ETZEL, GERMANY",06388172A
2019-07-30 01:13:08.943,12 PIPELINE RUPTURE CAUSING CRUDE RELEASE,MONTANA,06041902B
2017-12-28 01:21:37.830,MOTOR VEHICLE ACCIDENT,TBA,07242816B
2018-11-11 01:23:06.920,VESSEL-JOE N. DANIELS-CREWMEMBER JOE N. DANIELSSUS,USA,07399950N
2018-04-12 06:01:33.897,PIPELINE SPLIT CAUSING RELEASE OF 300 TO 1200 BBLS,MONTANA,06520336J
2019-07-30 01:17:49.307,PROTEST ACTIVITIES OF LOCAL RESIDENTS AT MULTIPLEL,WEST QURNA 2 FILED,07546526E
2019-05-21 01:16:40.817,"RISER ADAPTER PARTED, ROUGHLY 90 PERCENT OF TOTALB","USA, GOM BLOCK GREEN CANYON 243",07786630F
2018-08-14 01:15:29.520,PROTEST ACTIVITIES OF LOCAL RESIDENTS AT MULTIPLEL,WEST QURNA 2 FILED,07546526E
2019-10-01 01:13:55.230,DAMAGE TO SEISMIC EQUIPMENT,RUSSIA,07993522C
2020-01-03 01:09:11.513,EMERGENCY STOP OF GAS TURBINE UNIT X-7003A.,RUSSIA,07855376K
2019-03-10 01:28:11.990,SUSPECTED HYDRAULIC FLUID LEAK ON SUBSEA ACTUATORS,"NGC, TRINIDAD",07678642A
2019-08-28 01:17:22.353,RIG FIRE,DRILLING UNIT  MAJESTIC  - NIGERIA,07547268P
2019-04-04 01:32:17.310,IDENTIFIED DEFECTED BLADES OF THE GAS GENERATOR RT,GAS GENERATOR RT-434,07878110C
2020-06-24 02:38:35.977,CYCLONE BERIA DAMAGE TO PROPERTY AT X-STORAGETERMI,MOZAMBIQUE,07860110T
2020-02-14 01:26:39.857,"RISER ADAPTER PARTED, ROUGHLY 90 PERCENT OF TOTALB","USA, GOM BLOCK GREEN CANYON 243",07786630F
2019-11-05 02:04:06.567,DMG TO BOOSTER COMPRESSOR,NYHAMNA GAS PROCESSSING PLANT,08182252R
2019-10-30 01:13:21.590,DAMAGE TO SEISMIC EQUIPMENT,RUSSIA,07993522C
2019-05-17 01:18:30.917,FIRE CAUSED BY LIGHTNING AT GLO 71 - SWD SITE,USA,07928360C
2019-09-18 04:20:09.983,CHALLENGES WITH BOOSTER COMPRESSOR 1,NORWAY,08082058W
2018-10-07 01:21:30.670,TRINITY TRANSPORTER II BARGE,GUYANA,07616328B
2018-11-26 06:56:41.203,FIRE IN MUD LAB.,TBA,07690706P
2019-08-18 01:22:54.177,DEVENICK WAS SHUT DOWN INITIALLY ON 23RD MARCH DUE,NORTH SEA,08052138C
2020-05-20 01:51:08.713,DAMAGE TO PIPELINE AS A RESULT OF BEING HIT BYAN A,ATTAKA FIELD EAST KALIMANTAN,07634954K
2020-02-07 01:29:36.327,ALAMEDA 1D SWD LIGHTINING STRIKE,USA,08150562M
2020-04-01 01:09:29.197,BLOCK,NULL,08288144R
2019-04-21 01:42:03.900,TRINITY TRANSPORTER II BARGE,GUYANA,07616328B
2020-03-08 01:09:43.733,DAMAGE TO PIPELINE AS A RESULT OF BEING HIT BYAN A,ATTAKA FIELD EAST KALIMANTAN,07634954K
2019-03-08 01:50:03.197,"THEFT OF 8 ROLLS OF LAYFLAT ROLLS                 ",USA,07738026G
2019-07-07 01:27:30.760,BHA LEFT IN HOLE DURING BASEMENT.,MYANMAR,08009678W
2019-03-07 01:14:01.700,BARENTS MUD SPILL,NEWFOUNDLAND,07424838R
2019-06-04 01:17:41.077,"SEVERE STORM IN MIDLAND, TX",USA,07920264F
2019-02-20 01:55:17.480,DAMAGE TO CARGO DURING HANDLING OPERATION,RIO DE JANEIRO PORT,07810330R
2018-10-03 01:20:46.550,BLOWOUT INCIDENT,"MUSI BANYUASIN, SOUTH SUMATERA",07610486R
2019-09-11 01:18:36.617,BATTERY FACILITY STRUCK BY LIGHTNING,TEXAS,08051218M
2020-04-19 02:24:46.773,EMERGENCY STOP OF GAS TURBINE UNIT X-7003B.,RUSSIA,08410406M
2019-11-03 01:26:05.383,"LEAKS DETECTED ON FPSO NGOMA UTILITY SWIVEL,OFFSHO",NULL,08179638R
2020-01-30 01:57:49.437,CYCLONE BERIA DAMAGE TO PROPERTY AT X-STORAGETERMI,MOZAMBIQUE,07860110T
2019-11-28 01:18:35.207,ANCHORS 5+6 DAMAGED BY CYCLONE FANI,INDIA,08216756A
2019-08-16 01:19:23.377,PRODUCTION FROM SEAROSE (FPSO) WAS SHUT DUE TO OIL,SEAROSE - CANADA,07848228T
2019-09-11 01:18:32.413,STUCK DRILL STRING AND WELL CONTROL INCIDENT.,MYANMAR,08038030F
2019-03-08 01:49:39.430,FAILURE OF THE TURBINE.,RUSSIA,07613924A
2020-01-01 01:19:15.807,DMG TO BOOSTER COMPRESSOR,NYHAMNA GAS PROCESSSING PLANT,08182252R
2019-10-01 01:14:09.683,GE TURBINE DAMAGE,TBA,08058010V
2020-04-21 01:16:21.993,FAILURE OF THE TURBINE.,RUSSIA,08201786G
2019-02-19 01:54:30.540,"THE GALOC FIELD HAS FOUR PRODUCTION WELLS, AND MOS",PHILIPPINES,07808274T
2018-08-12 01:18:50.377,RIG FIRE,DRILLING UNIT MAJESTIC - NIGERIA,07543836E
2020-07-15 02:31:53.990,LOW INSULATION RESISTANCE ON UMBILICAL SYSTEM,SUBSEA POWER AT SOUTH BELUT FIELD,07957948H
2019-04-09 01:24:40.690,WELLHEAD OF THE 1D WELL TILTED AND THE 30 CASING P,"LAPA FIELD, BRAZIL",07883032V
2019-12-24 01:34:25.397,UNDERGROUND BLOWOUT - SHIP SHOAL 35 WELL  1,GULF OF MEXICO,07951590C
2020-01-23 06:04:29.343,MID WATER ARCH FAILURE.,NORWAY,08246256C
2019-12-04 01:09:41.693,DAMAGE TO PIPELINE PABELOKAN,PABELOKAN,07535184W
2019-10-24 01:14:12.113,DAMAGE TO TRUCK,TBA,08166574A
2019-09-12 02:47:54.043,FIRE AT SNORRE B,SNORRE B,07941748W
2020-02-23 22:07:48.127,PARKERS RIG 265 OPERATING IN KURDISTAN EXPERIENCED,KURDISTAN,07700684K
2019-10-30 01:14:16.513,FAILURE OF MWA COUPLING,NORWEGIAN NORTH SEA,08173372F
2018-10-14 01:18:46.317,RIG 101 DAMAGE,POLAND,07626802N
2019-12-13 01:09:15.400,PRODUCTION FROM SEAROSE (FPSO) WAS SHUT DUE TO OIL,SEAROSE - CANADA,07848228T
